,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
188,杭州同花顺数据开发有限公司,同花顺,2000人以上,上市公司,余杭区,android开发工程师,不限,本科,15k-30k,生活住宿补贴、上市公司、五险一金、技术氛围好,科技金融,开发|测试|运维类,"带薪年假,定期体检,免费班车,领导好",移动前端开发,杭州
189,深圳道乐科技有限公司,深圳道乐,150-500人,未融资,南山区,Android开发工程师,1-3年,本科,8k-15k,有良好的职业发展前景,科技金融,开发|测试|运维类,"年终奖励,成长空间,扁平管理,美女多",移动前端开发,深圳
190,广州虎牙科技有限公司,虎牙科技,2000人以上,上市公司,番禺区,Android开发工程师,3-5年,本科,25k-50k,大牛多，前景好,"游戏,MCN｜直播平台",开发|测试|运维类,"五险一金,年底双薪,午餐补助,带薪年假",移动前端开发,广州
191,广州心与潮信息科技有限公司,心潮,15-50人,A轮,海珠区,Android开发工程师,1-3年,大专,12k-20k,双休965、尊重技术、氛围正常、年假病假,智能硬件,开发|测试|运维类,"技能培训,专项奖金,股票期权,年度旅游",移动前端开发,广州
192,深圳市锐吉电子科技有限公司,RAYSGEM,50-150人,A轮,南山区,android开发工程师,1-3年,大专,12k-24k,高新企业 朝阳行业 个人发展空间大,智能硬件,开发|测试|运维类,"五险一金,岗位晋升,年度旅游,节日礼物",移动前端开发,深圳
193,上海席昌实业有限公司,上海席昌,150-500人,未融资,黄浦区,android开发工程师,不限,本科,35k-50k,待遇从优,制造业,开发|测试|运维类,,移动前端开发,上海
194,北京德惠众合信息技术有限公司天津分公司,德惠众合,50-150人,未融资,玄武区,android开发工程师,3-5年,大专,8k-16k,公司自研产品，扎根于银行业务,软件服务｜咨询,开发|测试|运维类,,移动前端开发,南京
195,北京儒博科技有限公司,roobo,150-500人,B轮,朝阳区,android高级开发工程师,3-5年,本科,20k-30k,AI+教育 扁平化管理,智能硬件,开发|测试|运维类,"年底双薪,节日礼物,技能培训,年度旅游",移动前端开发,北京
196,北京多贝兄弟信息技术有限公司,多贝网,50-150人,上市公司,海淀区,Android开发工程师,1-3年,本科,20k-40k,六险一金 免费午餐 不打卡 都是年轻人,软件服务｜咨询,开发|测试|运维类,"都是年轻人,不打卡,自助餐管饱,娱乐活动管够",移动前端开发,北京
197,微梦创科网络科技（中国）有限公司,微博,2000人以上,上市公司,海淀区,Android开发工程师,3-5年,本科,25k-40k,大平台、成长空间、福利完善,社交媒体,开发|测试|运维类,"年底双薪,专项奖金,股票期权,五险一金",移动前端开发,北京
198,北京猿印教育科技有限公司,猿印教育,50-150人,A轮,海淀区,Android高级开发工程师,3-5年,本科,40k-50k,福利待遇好，上升空间大,在线教育,开发|测试|运维类,"股票期权,交通补助,弹性工作,节日礼物",移动前端开发,北京
199,数篷科技（深圳）有限公司,数篷科技,50-150人,B轮,南山区,android开发工程师,3-5年,本科,15k-30k,扁平化管理、弹性上班、项目奖、年终奖,"IT技术服务｜咨询,信息安全",开发|测试|运维类,"股票期权,绩效奖金,带薪年假,午餐补助",移动前端开发,深圳
200,上海基分文化传播有限公司,趣头条,500-2000人,上市公司,浦东新区,Android开发工程师,3-5年,本科,20k-40k,"平均16薪,最高22薪,弹性工作",内容社区,开发|测试|运维类,"专项奖金,带薪年假,弹性工作,管理规范",移动前端开发,上海
201,深圳威尔视觉科技有限公司,威尔视觉,50-150人,A轮,南山区,android开发工程师,1-3年,本科,12k-18k,不打卡、13薪、扁平管理,IT技术服务｜咨询,开发|测试|运维类,"年底双薪,带薪年假,定期体检,午餐补助",移动前端开发,深圳
202,音泰思计算机技术（成都）有限公司,Intasect,150-500人,未融资,锦江区,android开发工程师,5-10年,本科,10k-15k,周末双休 待遇丰厚 年底双薪,IT技术服务｜咨询,开发|测试|运维类,"五险一金,年底双薪,绩效奖金,午餐补助",移动前端开发,成都
203,深圳云麦科技有限公司,云麦YUNMAI,150-500人,C轮,南山区,Android开发工程师,3-5年,本科,10k-20k,扁平化管理、团队氛围好、平台好,"移动互联网,硬件",开发|测试|运维类,"节日礼物,技能培训,年底双薪,股票期权",移动前端开发,深圳
204,北京安奇铁克科技有限公司,AnchyTec,50-150人,未融资,朝阳区,android开发工程师,3-5年,本科,15k-25k,五险一金、带薪年假、定期团建、年终奖,"科技金融,人工智能服务",开发|测试|运维类,,移动前端开发,北京
205,武汉速诺科技有限公司,速诺科技,15-50人,不需要融资,洪山区,android开发工程师,1-3年,本科,8k-10k,不加班，周末双休，入职缴纳五险一金,"游戏,工具类产品",开发|测试|运维类,"美女多,帅哥多,员工旅游,零食小柜",移动前端开发,武汉
206,成都乐劲科技有限责任公司,乐劲科技,50-150人,B轮,武侯区,高级android开发工程师,3-5年,本科,18k-25k,国际化团队 发展快 千万级用户app,社交平台,开发|测试|运维类,"股票期权,带薪年假,节日礼物,美女多",移动前端开发,成都
207,软视视频软件（杭州）有限公司,ZOOM,500-2000人,上市公司,工业园区,高级Android开发工程师,3-5年,本科,14k-26k,"薪水福利好,技术挑战高,发展空间大","软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,"专项奖金,股票期权,带薪年假,绩效奖金",企业软件,苏州
208,广东智源信息技术有限公司,广东智源,50-150人,不需要融资,越秀区,Android开发工程师,不限,本科,8k-11k,"绩效奖金,幸福下午茶,月度活动","软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,"技能培训,带薪年假,绩效奖金,岗位晋升",移动前端开发,广州
209,上海播呗网络科技有限公司,播呗,150-500人,未融资,闵行区,高级android开发工程师,3-5年,本科,15k-30k,五险一金 年底双薪带薪年假 节日礼物,MCN｜直播平台,开发|测试|运维类,"带薪年假,定期体检,年底双薪,年度旅游",移动前端开发,上海
210,广州友迅网络科技有限公司,友迅科技,50-150人,不需要融资,白云区,Android开发工程师,3-5年,本科,12k-20k,可晋升为APP组长或技术主管,"社交平台,IT技术服务｜咨询",开发|测试|运维类,,移动前端开发,广州
211,北京悠扬互动科技有限公司,悠扬互动,50-150人,天使轮,朝阳区,Android开发工程师,3-5年,大专,15k-25k,入职六险一金+nice氛围+高逼格技术大牛,"游戏,内容资讯,工具类产品",开发|测试|运维类,"节日礼物,扁平管理,管理规范,帅哥多",移动前端开发,北京
212,远东宏信普惠融资租赁（天津）有限公司,远东普惠,500-2000人,上市公司,浦东新区,android开发工程师,3-5年,本科,12k-18k,央企环境好 六险两金 饭补通讯补 过节费,金融,开发|测试|运维类,"通讯津贴,定期体检,午餐补助,节日礼物",移动前端开发,上海
213,开源证券股份有限公司,开源证券,2000人以上,上市公司,西城区,android高级开发工程师,5-10年,本科,20k-30k,大公司；国企背景；福利好,科技金融,开发|测试|运维类,,移动前端开发,北京
214,蓝信移动（北京）科技有限公司,蓝信移动（北京）科技有限公司,150-500人,B轮,朝阳区,Android开发工程师,3-5年,本科,15k-25k,大牛团队 快速成长 带薪病假 扁平管理,软件服务｜咨询,开发|测试|运维类,"年底双薪,股票期权,带薪年假,午餐补助",移动前端开发,北京
215,澳门极易付股份有限公司,极易付,50-150人,未融资,天河区,Android开发工程师,3-5年,大专,12k-15k,周末双休、下午茶、年度体检、年终奖,科技金融,开发|测试|运维类,"绩效奖金,带薪年假,五险一金",移动前端开发,广州
216,酷社（深圳）科技有限公司,QooApp,50-150人,A轮,南山区,android开发工程师,3-5年,本科,13k-20k,弹性工时，二次元，千万级，月底发当月工资,"移动互联网,游戏",开发|测试|运维类,"扁平管理,领导好,美女多,商业险",移动前端开发,深圳
217,丰疆智能（深圳）有限公司,丰疆智能,150-500人,A轮,南山区,android开发工程师,3-5年,本科,16k-30k,五险一金,智能硬件,开发|测试|运维类,,移动前端开发,深圳
218,上海微创软件股份有限公司,微创软件,2000人以上,不需要融资,南山区,android开发工程师,1-3年,大专,11k-13k,弹性办公 大平台,IT技术服务｜咨询,开发|测试|运维类,"绩效奖金,带薪年假,定期体检,弹性工作",移动前端开发,深圳
219,趁早（北京）科技有限公司,趁早（北京）科技,50-150人,天使轮,朝阳区,android开发工程师,1-3年,本科,13k-16k,nice团队、福利多多、发展空间,工具类产品,开发|测试|运维类,"午餐补助,带薪年假,弹性工作,节日礼物",移动前端开发,北京
220,广东映客互娱网络信息有限公司,映客直播,150-500人,上市公司,海珠区,安卓android开发工程师,3-5年,本科,13k-26k,水果零食下午茶；薪酬福利有竞争力；周末双休,MCN｜直播平台,开发|测试|运维类,"绩效奖金,带薪年假,午餐补助,专项奖金",移动前端开发,广州
221,深圳市蛋壳创意科技有限公司,蛋壳创意科技,50-150人,未融资,龙岗区,android开发工程师,1-3年,大专,10k-15k,"地铁周边,年轻团队,五险一金,带薪休假",软件服务｜咨询,开发|测试|运维类,,移动前端开发,深圳
222,深圳雷漫网络科技有限公司,雷漫网络,50-150人,A轮,南山区,android高级开发工程师,5-10年,本科,25k-35k,优质项目 mac标配 甲级海景办公楼,游戏,开发|测试|运维类,"带薪年假,午餐补助,交通补助,绩效奖金",移动前端开发,深圳
223,上海星艾网络科技有限公司,么么直播,50-150人,不需要融资,闵行区,Android开发工程师,3-5年,本科,20k-30k,行业前景好，福利多，同事nice,MCN｜直播平台,开发|测试|运维类,"扁平管理,节日礼物,年度旅游,五险一金",移动前端开发,上海
224,上海星艾网络科技有限公司,么么直播,50-150人,不需要融资,闵行区,Android开发工程师,1-3年,本科,12k-20k,行业前景好，福利好，晋升空间大,MCN｜直播平台,开发|测试|运维类,"扁平管理,节日礼物,年度旅游,五险一金",移动前端开发,上海
225,杭州群核信息技术有限公司,酷家乐,500-2000人,D轮及以上,拱墅区,Android开发工程师,3-5年,本科,18k-25k,空间大 技术大牛,软件服务｜咨询,开发|测试|运维类,"弹性工作,期权丰厚,办公逼格高,大牛团队",移动前端开发,杭州
226,寻伙（安徽）科技有限公司,寻伙科技,50-150人,未融资,经济技术开发区,Android开发工程师,3-5年,本科,9k-15k,平台大，前景广，百人技术团队，欢迎加盟！,"工具类产品,软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,,移动前端开发,合肥
227,杭州涂鸦信息技术有限公司,涂鸦智能,2000人以上,C轮,西湖区,资深android开发工程师,3-5年,本科,15k-30k,发展空间大，大牛多,"物联网,智能硬件",开发|测试|运维类,"5星办公环境,年底奖金,团队牛B,五险一金",移动前端开发,杭州
