,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
323,暗物智能科技（广州）有限公司,DMAI智能科技,150-500人,A轮,南沙区,算法SDK封装工程师,3-5年,硕士,25k-40k,大牛带领、实习补贴、办公环境,"人工智能服务,在线教育",开发|测试|运维类,"带薪年假,绩效奖金,AI,高福利待遇",人工智能,广州
324,宝宝树（北京）信息技术有限公司,宝宝树,500-2000人,上市公司,朝阳区,算法工程师,5-10年,本科,30k-50k,上市公司 扁平化管理 六险一金,"社交平台,内容社区",开发|测试|运维类,"商业医疗保险,股票期权,带薪年假,扁平管理",人工智能,北京
325,宝宝树（北京）信息技术有限公司,宝宝树,500-2000人,上市公司,朝阳区,算法工程师,3-5年,本科,30k-45k,上市公司 扁平化管理 六险一金,"社交平台,内容社区",开发|测试|运维类,"商业医疗保险,股票期权,带薪年假,扁平管理",人工智能,北京
326,火眼云（北京）科技有限公司,火眼云,50-150人,A轮,朝阳区,算法工程师,3-5年,本科,20k-40k,发展前进好，团队实力强,营销服务｜咨询,开发|测试|运维类,,人工智能,北京
327,北京奇艺世纪科技有限公司,爱奇艺,2000人以上,上市公司,海淀区,NLP算法工程师--3686,5-10年,本科,45k-60k,"五险一金,带薪年假,交通餐补,定期体检",音频｜视频媒体,开发|测试|运维类,"绩效奖金,五险一金,交通补助,带薪年假",人工智能,北京
328,深圳市泊寓租赁服务有限公司,万科泊寓,2000人以上,上市公司,南山区,算法工程师,5-10年,本科,30k-60k,团队氛围佳,居住服务,开发|测试|运维类,,人工智能,深圳
329,马上消费金融股份有限公司,马上消费,2000人以上,不需要融资,海淀区,算法工程师,3-5年,硕士,20k-40k,发展前景,科技金融,开发|测试|运维类,"股票期权,年终分红,绩效奖金,带薪年假",人工智能,北京
330,数坤（北京）网络科技有限公司,数坤科技,150-500人,C轮,朝阳区,算法工程师,不限,本科,25k-40k,16薪，AI医疗领域独角兽,医疗丨健康,开发|测试|运维类,"绩效奖金,弹性工作,五险一金,技术大牛多",人工智能,北京
331,燧人（上海）医疗科技有限公司,燧人医疗,50-150人,不需要融资,浦东新区,算法工程师,1-3年,硕士,20k-40k,五险一金、弹性工作、年终奖金、餐饮补贴,在线医疗,开发|测试|运维类,,人工智能,上海
332,北京格灵深瞳信息技术股份有限公司,格灵深瞳,150-500人,D轮及以上,海淀区,算法工程师,不限,硕士,20k-40k,"扁平化管理,不定期团建,六险一金",人工智能服务,开发|测试|运维类,"技能培训,节日礼物,玩乐项目多,岗位晋升",后端开发,北京
