,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
71,学科网（北京）股份有限公司,学科网,500-2000人,B轮,房山区,高级DBA工程师,5-10年,本科,20k-30k,朝阳行业，五险一金，餐补车补，超长年假,"工具类产品,内容社区",开发|测试|运维类,"技能培训,岗位晋升,福利好,扁平管理",运维,北京
72,中电通商数字技术（上海）有限公司,中电数字,50-150人,不需要融资,武侯区,数据库工程师,不限,本科,15k-25k,国家队；区域数字医疗顶配；***网信安全；,人工智能服务,开发|测试|运维类,"央企背景,数字城市,管理规范,技能培训",运维,成都
73,深圳市爱路恩济能源技术有限公司,爱路恩济,15-50人,未融资,南山区,DBA数据库工程师,5-10年,大专,15k-30k,六险一金、年终奖、体检旅游、过节福利,IT技术服务｜咨询,开发|测试|运维类,"定期体检,年度旅游,过节费,周末双休",运维,深圳
74,广州嘉为科技有限公司,嘉为科技,500-2000人,A轮,福田区,DBA,3-5年,本科,16k-25k,带薪年假 晋升体系餐补 通讯补贴 季度调薪,"企业服务,数据服务",开发|测试|运维类,,运维,深圳
75,上海意臣信息科技有限公司,意臣信息,150-500人,未融资,徐汇区,DBA数据库工程师/运维工程师,1-3年,本科,6k-10k,双休 ，年终奖，项目奖金、绩效奖金、团队旅游,IT技术服务｜咨询,开发|测试|运维类,"年底双薪,技能培训,专项奖金,带薪年假",运维,上海
76,柳州智银通信息技术有限公司,智银通,150-500人,不需要融资,城中区,数据库工程师,1-3年,本科,6k-12k,五险一金，加班调休，法定节假日，职级晋升,"软件服务｜咨询,IT技术服务｜咨询",开发|测试|运维类,,运维,柳州
77,杭州迪火科技有限公司,二维火,500-2000人,B轮,拱墅区,高级dba工程师,3-5年,本科,16k-28k,氛围融洽 前景广阔,消费生活,开发|测试|运维类,"股票期权,BAT技术,年度旅游,五险一金",运维,杭州
78,深圳海智创科技有限公司,中海科技,50-150人,不需要融资,南山区,高级数据库工程师,5-10年,本科,25k-35k,世界500强、地产科技、健全的薪酬福利体系,软件服务｜咨询,开发|测试|运维类,"定期体检,五险二金,午餐补助,带薪年假",运维,深圳
79,上海商涌科技有限公司,商涌科技,50-150人,B轮,浦东新区,数据库工程师,1年以下,本科,7k-12k,"学习成长快,团队氛围好,发展空间大",数据服务｜咨询,开发|测试|运维类,"带薪年假,定期体检,年底双薪,股票期权",数据开发,上海
80,上海镁信健康科技有限公司,镁信健康,15-50人,未融资,徐汇区,dba数据库管理员,3-5年,本科,15k-25k,发展前景广 福利待遇好,科技金融,开发|测试|运维类,"股票期权,绩效奖金,带薪年假,交通补助",运维,上海
