,companyFullName,companyShortName,companySize,financeStage,district,positionName,workYear,education,salary,positionAdvantage,industryField,firstType,companyLabelList,secondType,city
86,浙江汇信科技有限公司,汇信科技,150-500人,未融资,拱墅区,数据仓库开发工程师,5-10年,本科,15k-25k,"福利优厚,前景好,管理规范,交通方便","IT技术服务｜咨询,工具类产品",开发|测试|运维类,"节日礼物,带薪年假,岗位晋升,美女多",数据开发,杭州
87,深圳市博奥特科技有限公司,博奥特科技,500-2000人,未融资,福田区,数据开发工程师,3-5年,本科,16k-20k,金融项目，五险一金，前景广阔,"IT技术服务｜咨询,软件服务｜咨询",开发|测试|运维类,"绩效奖金,领导好,帅哥多,美女多",数据开发,深圳
88,泰康保险集团股份有限公司,泰康保险集团,2000人以上,不需要融资,昌平区,Java数据开发工程师,3-5年,本科,20k-30k,通勤班车；员工食堂；福利待遇好,金融业,开发|测试|运维类,"交通补助,午餐补助,带薪年假,定期体检",数据开发,北京
89,政采云有限公司,政采云,150-500人,不需要融资,西湖区,高级数据开发工程师,3-5年,本科,15k-25k,发展前景好 福利待遇优,"人工智能服务,数据服务｜咨询",开发|测试|运维类,"带薪年假,绩效奖金,定期体检,弹性工作",数据开发,杭州
90,韩领网络科技（上海）有限公司,Coupang,150-500人,不需要融资,浦东新区,资深大数据开发工程师 - 供应链管理平台,5-10年,本科,40k-70k,发展迅速，股票期权，氛围好，不加班,电商平台,开发|测试|运维类,"年底双薪,技能培训,绩效奖金,年度旅游",数据开发,上海
91,中国平安财产保险股份有限公司,平安产险,2000人以上,上市公司,福田区,大数据开发工程师,5-10年,本科,20k-40k,"专业团队,大平台,薪酬,尊重",金融业,产品|需求|项目类,"绩效奖金 ,五险一金 ,带薪年假 ,年度旅游 ",数据分析,深圳
92,51JOB-艾斯普软件科技（西安）有限公司,51JOB-艾斯普软件科技（西安）有限公司,500-2000人,不需要融资,锦江区,Database Developer 数据工程师 BI工程师,3-5年,大专,13k-19k,"补充医疗保险,专业培训,弹性工作",软件开发,开发|测试|运维类,,数据开发,成都
93,深圳道道网络科技有限公司,道道,50-150人,C轮,南山区,大数据开发工程师,1-3年,本科,15k-30k,牛人团队 ***项目 丰厚报酬,在线教育,开发|测试|运维类,"平等的氛围,年底双薪,带薪年假,定期体检",数据开发,深圳
94,深圳虾皮信息科技有限公司,Shopee,500-2000人,上市公司,南山区,大数据开发工程师-金融业务,3-5年,本科,20k-40k,蓝海市场，外企氛围。,电商平台,开发|测试|运维类,"外企氛围,蓝海市场,大牛多多,15天年假",数据开发,深圳
95,北京字节跳动科技有限公司,字节跳动,2000人以上,D轮及以上,闵行区,大数据开发工程师,3-5年,本科,30k-60k,"六险一金,股票期权,带薪休假,免费三餐","内容资讯,短视频",开发|测试|运维类,"扁平管理,弹性工作,就近租房补贴,六险一金",后端开发,上海
96,北京字节跳动科技有限公司,字节跳动,2000人以上,D轮及以上,余杭区,大数据开发工程师,3-5年,本科,30k-60k,"下午茶,健身瑜伽,六险一金,股票期权","内容资讯,短视频",开发|测试|运维类,"扁平管理,弹性工作,就近租房补贴,六险一金",后端开发,杭州
97,平安国际智慧城市科技股份有限公司,平安智慧城,2000人以上,不需要融资,南山区,数据开发工程师,5-10年,不限,15k-25k,福利多,"人工智能服务,区块链",开发|测试|运维类,,数据开发,深圳
98,南京蓝鲸人网络科技有限公司,美篇,150-500人,B轮,海淀区,大数据开发工程师,3-5年,本科,25k-35k,六险一金 免费午餐 下午茶,内容社区,开发|测试|运维类,"弹性工作,期权激励,六险一金,租房补贴",数据开发,北京
99,北京达佳互联信息技术有限公司,快手,2000人以上,上市公司,海淀区,大数据开发工程师,3-5年,本科,25k-50k,欢迎各路高手交流学习,短视频,开发|测试|运维类,"股票期权,弹性工作,定期体检,岗位晋升",数据开发,北京
100,上海钧正网络科技有限公司,哈啰出行,2000人以上,D轮及以上,西湖区,数据工程师,3-5年,本科,20k-40k,五险、全额公积金、年终奖、带薪年假、股权激励,旅游｜出行,开发|测试|运维类,"绩效奖金,年底双薪,股票期权,交通补助",数据开发,杭州
101,上海中软华腾软件系统有限公司,上海中软华腾软件系统有限公司,2000人以上,上市公司,龙岗区,大数据开发工程师,3-5年,本科,17k-30k,团队氛围,IT技术服务｜咨询,开发|测试|运维类,"绩效奖金,带薪年假,定期体检,管理规范",数据开发,深圳
102,深圳虾皮信息科技有限公司,Shopee,500-2000人,上市公司,南山区,大数据资深开发工程师-金融业务,5-10年,本科,30k-50k,蓝海市场，外企氛围。,电商平台,开发|测试|运维类,"外企氛围,蓝海市场,大牛多多,15天年假",数据开发,深圳
103,深圳虾皮信息科技有限公司,Shopee,500-2000人,上市公司,南山区,供应链资深数据开发工程师,不限,本科,30k-50k,外企氛围，蓝海市场，大牛多多，15天年假,电商平台,开发|测试|运维类,"外企氛围,蓝海市场,大牛多多,15天年假",数据开发,深圳
104,深圳市云积分科技有限公司,云积互动,150-500人,天使轮,雁塔区,大数据开发工程师,3-5年,本科,15k-25k,周末双休、团队年轻、主题下午茶，股权激励,营销服务｜咨询,开发|测试|运维类,"带薪年假,年轻团队,股票期权,下午茶",数据开发,西安
105,广州骏伯网络科技有限公司,广州骏伯,50-150人,上市公司,天河区,大数据开发工程师,3-5年,本科,15k-20k,高薪双休、入职五险一金、餐补话补、下午茶,营销服务｜咨询,开发|测试|运维类,"节日礼物,绩效奖金,年度旅游,通讯津贴",数据开发,广州
106,上海莉莉丝科技股份有限公司,莉莉丝游戏,500-2000人,不需要融资,闵行区,大数据测试工程师,不限,不限,15k-30k,团队境外游 高福利 大牛云集 核心项目,游戏,开发|测试|运维类,"项目奖金,零食无限量,牛逼的同事,境外旅游",测试,上海
